Input 1) Small dataset or 2) Large dataset
2
Using large dataset!
Starting forward selection
, 0.164
3 , 0.852
3 21 , 0.964
3 21 28 , 0.942
3 21 28 27 , 0.913
3 21 28 27 25 , 0.892
3 21 28 27 25 11 , 0.863
3 21 28 27 25 11 38 , 0.857
3 21 28 27 25 11 38 26 , 0.831
3 21 28 27 25 11 38 26 37 , 0.83
3 21 28 27 25 11 38 26 37 12 , 0.832
3 21 28 27 25 11 38 26 37 12 10 , 0.82
3 21 28 27 25 11 38 26 37 12 10 4 , 0.805
3 21 28 27 25 11 38 26 37 12 10 4 8 , 0.789
3 21 28 27 25 11 38 26 37 12 10 4 8 33 , 0.789
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 , 0.789
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 , 0.8
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 , 0.793
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 , 0.799
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 , 0.79
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 , 0.794
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 , 0.783
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 , 0.786
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 , 0.781
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 , 0.784
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 , 0.787
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 , 0.788
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 , 0.788
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 , 0.784
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 , 0.777
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 , 0.775
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 , 0.773
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 , 0.762
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 32 , 0.766
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 32 19 , 0.764
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 32 19 31 , 0.758
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 32 19 31 22 , 0.757
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 32 19 31 22 13 , 0.758
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 32 19 31 22 13 15 , 0.748
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 32 19 31 22 13 15 20 , 0.733
3 21 28 27 25 11 38 26 37 12 10 4 8 33 24 30 2 17 34 1 9 39 16 7 5 14 40 23 35 6 36 18 32 19 31 22 13 15 20 29 , 0.73
Time: 202890 milliseconds

Starting backward selection
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 , 0.75
